Label,Function,SourceFile,ARM_PcodeLines,MIPS_PcodeLines,Match_Ratio,Notes
216,__chdir,Unknown,9,15,26.57,P-code行數差異顯著; 低相似度
176,aligned_alloc,Unknown,40,162,11.55,P-code行數差異顯著; 低相似度
1011,__restore_core_regs,Unknown,1,5,18.43,P-code行數差異顯著; 低相似度
957,__sync_xor_and_fetch_4,Unknown,11,47,18.10,P-code行數差異顯著; 低相似度
551,_dl_strtoul,Unknown,179,27,4.69,P-code行數差異顯著; 低相似度
1020,__gnu_Unwind_Restore_WMMXC,Unknown,9,19,15.48,P-code行數差異顯著; 低相似度
465,__libc_scratch_buffer_grow_preserve,Unknown,60,746,4.02,P-code行數差異顯著; 低相似度
215,__sleep,Unknown,61,119,21.45,P-code行數差異顯著; 低相似度
733,_IO_wfile_underflow_maybe_mmap,Unknown,12,1826,1.04,P-code行數差異顯著; 低相似度
16,attack_gre_ip,Unknown,1496,2,0.23,P-code行數差異顯著; 低相似度
46,establish_connection,Unknown,61,24,18.38,P-code行數差異顯著; 低相似度
357,_IO_new_file_fopen,Unknown,1445,96,1.83,P-code行數差異顯著; 低相似度
257,__malloc_thp_mode,Unknown,89,63,19.29,P-code行數差異顯著; 低相似度
680,__printf_fphex_buffer,Unknown,2156,116,3.52,P-code行數差異顯著; 低相似度
618,__gconv_lookup_cache,Unknown,503,41,0.87,P-code行數差異顯著; 低相似度
520,_dl_signal_error,Unknown,53,38,20.75,P-code行數差異顯著; 低相似度
218,__libc_fcntl,Unknown,24,20,24.24,低相似度
800,do_dlsym,Unknown,19,27,22.71,P-code行數差異顯著; 低相似度
1027,next_unwind_byte,Unknown,35,187,8.82,P-code行數差異顯著; 低相似度
1016,__gnu_Unwind_Restore_VFP_D_16_to_31,Unknown,1,65,0.34,P-code行數差異顯著; 低相似度
667,__printf_buffer_puts_1,Unknown,91,5,5.54,P-code行數差異顯著; 低相似度
48,ensure_single_instance,Unknown,235,764,10.46,P-code行數差異顯著; 低相似度
249,__sbrk,Unknown,75,195,16.78,P-code行數差異顯著; 低相似度
122,__lll_lock_wake,Unknown,2,4,42.35,P-code行數差異顯著; 低相似度
715,_IO_wdoallocbuf,Unknown,57,155,14.46,P-code行數差異顯著; 低相似度
94,__bsd_signal,Unknown,79,40,6.74,P-code行數差異顯著; 低相似度
853,__fdopendir,Unknown,82,36,23.46,P-code行數差異顯著; 低相似度
436,_IO_str_init_static_internal,Unknown,50,88,7.92,P-code行數差異顯著; 低相似度
434,_IO_list_resetlock,Unknown,17,24,7.03,P-code行數差異顯著; 低相似度
898,___dlmopen,Unknown,18,14,28.52,P-code行數差異顯著; 低相似度
173,__malloc_arena_thread_freeres,Unknown,460,180,8.31,P-code行數差異顯著; 低相似度
250,__select64,Unknown,325,23,5.67,P-code行數差異顯著; 低相似度
378,flush_cleanup,Unknown,265,5,2.26,P-code行數差異顯著; 低相似度
834,__mpn_mul_n,Unknown,28,7,13.98,P-code行數差異顯著; 低相似度
269,__setsockopt,Unknown,25,14,43.48,P-code行數差異顯著; 低相似度
538,decompose_rpath,Unknown,247,136,12.39,P-code行數差異顯著; 低相似度
430,_IO_iter_next,Unknown,3,210,2.81,P-code行數差異顯著; 低相似度
204,__readdir,Unknown,49,319,9.51,P-code行數差異顯著; 低相似度
192,strlen,Unknown,72,25,10.75,P-code行數差異顯著; 低相似度
863,call_dl_init,Unknown,15,42,9.58,P-code行數差異顯著; 低相似度
372,_IO_file_close,Unknown,4,98,6.10,P-code行數差異顯著; 低相似度
6,_IO_stdfiles_init,Unknown,23,2,15.40,P-code行數差異顯著; 低相似度
1028,unwind_UCB_from_context,Unknown,6,32,16.77,P-code行數差異顯著; 低相似度
786,__getcwd,Unknown,3536,17,0.25,P-code行數差異顯著; 低相似度
