file_name,CPU,label,Avg_ARITHMETIC,Avg_BITFIELD,Avg_BOOLEAN,Avg_BRANCHING,Avg_CFG_EDGES,Avg_CFG_EDGE_TO_NODE_RATIO,Avg_CFG_NODES,Avg_DATA_MOVING,Avg_EXTENSION,Avg_FLOATING_POINT,Avg_FLOATING_POINT_COMPARE,Avg_FLOATING_POINT_CONVERSION,Avg_FUNCTION_IN_DEGREE,Avg_FUNCTION_OUT_DEGREE,Avg_INTEGER_COMPARISON,Avg_LOGICAL,Avg_MANAGED,Avg_MISC,Avg_TOTAL_OPS,Avg_UNRECOGNIZED_OPS,Total_ARITHMETIC,Total_BITFIELD,Total_BOOLEAN,Total_BRANCHING,Total_CFG_EDGES,Total_CFG_EDGE_TO_NODE_RATIO,Total_CFG_NODES,Total_DATA_MOVING,Total_EXTENSION,Total_FLOATING_POINT,Total_FLOATING_POINT_COMPARE,Total_FLOATING_POINT_CONVERSION,Total_FUNCTION_IN_DEGREE,Total_FUNCTION_OUT_DEGREE,Total_INTEGER_COMPARISON,Total_LOGICAL,Total_MANAGED,Total_MISC,Total_TOTAL_OPS,Total_UNRECOGNIZED_OPS,Total_functions
d7a354e2af1e25c6932f8d0ea3a02ddcf727964340708adb3851356221be9c05,PowerPC,Benignware,1.1111111111111112,0,0,2.3333333333333335,1.5555555555555556,0.4666666666666667,2,1.5555555555555556,0.7777777777777778,0,0,0,0.7777777777777778,0.7777777777777778,0.3333333333333333,0,0,0,6.111111111111111,0,10,0,0,21,14,4.2,18,14,7,0,0,0,7,7,3,0,0,0,55,0,9
aab021b2f0896f4966ac6e8b414aaa3287eed6d60c3e7a7557c95ac36ad692ef,PowerPC,Benignware,12.72,0,0.06,15.72,22.36,1.107280286058641,13.44,54.74,17.92,0,0,0,1.1,1.1,2.32,0.72,0,0,104.2,0,636,0,3,786,1118,55.364014302932056,672,2737,896,0,0,0,55,55,116,36,0,0,5210,0,50
81096a6bd77772239cba1dd8856900017548cbe15fa2278b1cc2fa5caa21b1d1,PowerPC,Benignware,12.745562130177515,0,0.011834319526627219,13.059171597633137,19.31360946745562,1.2526827065585755,12.899408284023668,36.61538461538461,17.047337278106507,0,0,0,1.6863905325443787,1.6863905325443787,3.8875739644970415,1.6745562130177514,0,0,85.0414201183432,0,2154,0,2,2207,3264,211.70337740839926,2180,6188,2881,0,0,0,285,285,657,283,0,0,14372,0,169
71a36c0deb5ce79603b6eaeb9dfc45953cf69170afb809edfde2aca2863e3cc7,PowerPC,Benignware,4.388888888888889,0,0,8.833333333333334,8.61111111111111,0.8353242060559134,6.5,8.722222222222221,5,0,0,0,0.5555555555555556,0.5555555555555556,2.111111111111111,0.5,0,0,29.555555555555557,0,79,0,0,159,155,15.03583570900644,117,157,90,0,0,0,10,10,38,9,0,0,532,0,18
71d339ed798be9c995874c01d0ee172b8fc4c509adee3899fbae16527da4d87d,PowerPC,Benignware,8.543478260869565,0,0,10.152173913043478,13.847826086956522,1.117586407428986,9.043478260869565,41.15217391304348,14.043478260869565,0,0,0,0.9130434782608695,0.9130434782608695,2.0217391304347827,0.8260869565217391,0,0,76.73913043478261,0,393,0,0,467,637,51.40897474173336,416,1893,646,0,0,0,42,42,93,38,0,0,3530,0,46
7171472b7438f1fdd14909bae78abde6327a1f5e8b4b5adc24dfcaa081498538,PowerPC,Benignware,11.386138613861386,0,0.0297029702970297,13.326732673267326,18.207920792079207,1.2043398611447629,11.851485148514852,73.8019801980198,18.277227722772277,0,0,0,1.8613861386138615,1.891089108910891,2.4158415841584158,1.1683168316831682,0,0,120.4059405940594,0,1150,0,3,1346,1839,121.63832597562104,1197,7454,1846,0,0,0,188,191,244,118,0,0,12161,0,101
712542fd10b2fa00c4d005c300b1577503984ea4df2ece724b0813f1438585f4,PowerPC,Benignware,21.0765306122449,0,0.05102040816326531,14.489795918367347,21.23469387755102,1.1644439268130689,13.301020408163266,60.454081632653065,25.81122448979592,0,0,0,2.0255102040816326,1.9438775510204083,4.025510204081633,7.821428571428571,0,0,133.7295918367347,0,4131,0,10,2840,4162,228.23100965536148,2607,11849,5059,0,0,0,397,381,789,1533,0,0,26211,0,196
7169120fdc8a9437297a33f488c9189c7fb41e00cef612bf9aaaead1927f820d,PowerPC,Benignware,25.764705882352942,0,0.3588235294117647,19.094117647058823,29.341176470588234,1.2683058531594973,19.488235294117647,38.51176470588236,38.00588235294118,0,0,0,2.735294117647059,2.1411764705882352,9.670588235294117,8.405882352941177,0,0,139.81176470588235,0,4380,0,61,3246,4988,215.61199503711455,3313,6547,6461,0,0,0,465,364,1644,1429,0,0,23768,0,170
812a8ada9c768b2a4cc2cf82ddcf751d8c9f0c7ca21afdb8ac364556573c6c27,PowerPC,Benignware,15.8,0,0.02,18.44,30.76,1.1103165275725562,21.48,77.28,31.42,0,0,0,1.52,1.52,3.62,2.06,0,0,148.64,0,790,0,1,922,1538,55.51582637862781,1074,3864,1571,0,0,0,76,76,181,103,0,0,7432,0,50
cd8e71cd6608182039ca65d94d47174df35bd812fb1e2eb2050d6fc46eaeebeb,PowerPC,Benignware,6.42,0,0.04,7.78,10.18,1.0059429799990172,7.36,20.5,8.58,0,0,0,1.04,1.04,1.7,0.58,0,0,45.6,0,321,0,2,389,509,50.297148999950856,368,1025,429,0,0,0,52,52,85,29,0,0,2280,0,50
