file_name,CPU,label,Avg_ARITHMETIC,Avg_BITFIELD,Avg_BOOLEAN,Avg_BRANCHING,Avg_CFG_EDGES,Avg_CFG_EDGE_TO_NODE_RATIO,Avg_CFG_NODES,Avg_DATA_MOVING,Avg_EXTENSION,Avg_FLOATING_POINT,Avg_FLOATING_POINT_COMPARE,Avg_FLOATING_POINT_CONVERSION,Avg_FUNCTION_IN_DEGREE,Avg_FUNCTION_OUT_DEGREE,Avg_INTEGER_COMPARISON,Avg_LOGICAL,Avg_MANAGED,Avg_MISC,Avg_TOTAL_OPS,Avg_UNRECOGNIZED_OPS,Total_ARITHMETIC,Total_BITFIELD,Total_BOOLEAN,Total_BRANCHING,Total_CFG_EDGES,Total_CFG_EDGE_TO_NODE_RATIO,Total_CFG_NODES,Total_DATA_MOVING,Total_EXTENSION,Total_FLOATING_POINT,Total_FLOATING_POINT_COMPARE,Total_FLOATING_POINT_CONVERSION,Total_FUNCTION_IN_DEGREE,Total_FUNCTION_OUT_DEGREE,Total_INTEGER_COMPARISON,Total_LOGICAL,Total_MANAGED,Total_MISC,Total_TOTAL_OPS,Total_UNRECOGNIZED_OPS,Total_functions
b00f33cb1ffe364b87bf58a59a998f374ce8260a3238f420b901b0cc27b58ec9,Intel 80386,Benignware,8.302724520686176,0,0.018163471241170535,8.412714429868819,12.11907164480323,0.7678738542562121,8.979818365287588,37.94853683148335,11.329969727547931,0,0,0,2.875882946518668,2.875882946518668,1.2341069626639758,0.763874873864783,0,0,68.0100908173562,0,8228,0,18,8337,12010,760.9629895679062,8899,37607,11228,0,0,0,2850,2850,1223,757,0,0,67398,0,991
ad06db57e073cca90fb75e485546fa5315d568bfa889c60fa2dae4a92145302c,Intel 80386,Benignware,9.257831325301204,0,0.04096385542168675,8.002409638554218,9.987951807228916,0.628443231198307,7.4963855421686745,43.506024096385545,15.443373493975903,0,0,0,2.180722891566265,2.180722891566265,2.1180722891566264,1.9373493975903615,0,0,80.30602409638554,0,3842,0,17,3321,4145,260.8039409472974,3111,18055,6409,0,0,0,905,905,879,804,0,0,33327,0,415
0dfaaedcca22bfbe94b6698327d8ae65052a7b2931987a9463f1762f96e5d51c,Intel 80386,Benignware,10.7476948868399,0,0.04610226320201174,10.020955574182732,14.259010896898575,0.8795694977406667,10.478625314333613,53.19530595138307,18.865046102263204,0,0,0,2.9715004191114835,2.9715004191114835,2.713327745180218,1.0695725062866723,0,0,96.6580050293378,0,12822,0,55,11955,17011,1049.3264108046155,12501,63462,22506,0,0,0,3545,3545,3237,1276,0,0,115313,0,1193
ad09ec6179097fb06e1a28779369a904a74cf2b1e8b4ad5fd4f9c4e8a7c1cd48,Intel 80386,Benignware,6.378109452736318,0,0.01824212271973466,7.300165837479271,9.14262023217247,0.7359076121541882,7.013266998341625,23.155887230514097,10.665008291873963,0,0,0,2.568822553897181,2.568822553897181,1.3217247097844114,0.6003316749585407,0,0,49.43946932006634,0,3846,0,11,4402,5513,443.75229012897546,4229,13963,6431,0,0,0,1549,1549,797,362,0,0,29812,0,603
26a87e05ffef6c409fca9ee92ca2003d422568db1168705a4b685c05ec9a9a45,ARM,Benignware,20.357471264367817,0,0.2471264367816092,19.995977011494254,27.21206896551724,1.2062503954261181,18.410344827586208,107.8528735632184,39.922413793103445,0,0,0,3.8908045977011496,3.8908045977011496,8.191954022988506,5.512643678160919,0,0,202.08045977011494,0,35422,0,430,34793,47349,2098.8756880414453,32034,187664,69465,0,0,0,6770,6770,14254,9592,0,0,351620,0,1740
e4ee1d7cf55c444c8484b7c8639dcea63b851e93996a4cd5e598be68abc89398,MIPS R3000,Benignware,12.136876763875824,0,0.02634054562558796,13.623236124176858,17.81749764816557,1.0129071093705386,11.522107243650048,44.08607714016933,15.536218250235184,0,0,0,4.143932267168391,4.143932267168391,3.3301975540921918,1.0691439322671683,0,0,89.80809031044214,0,25803,0,56,28963,37880,2153.440514521765,24496,93727,33030,0,0,0,8810,8810,7080,2273,0,0,190932,0,2126
e45b5eb5d5c712886daf01852771ac9b7a287c50f9267ac4108d715556fc8cf0,Intel 80386,Benignware,6.182857142857143,0,0.009523809523809525,6.392380952380952,7.855238095238096,0.6084161789142926,6.2628571428571425,21.21904761904762,9.422857142857143,0,0,0,2.2476190476190476,2.2476190476190476,1.1866666666666668,0.9314285714285714,0,0,45.3447619047619,0,3246,0,5,3356,4124,319.4184939300036,3288,11140,4947,0,0,0,1180,1180,623,489,0,0,23806,0,525
70ea5d6b94c669cd69e56f13037b195a4ca75e1b12b76ec63f3927d1fceff46d,Intel 80386,Benignware,8.490318823700685,0,0.040908429174552334,10.536904935216189,14.932013393507061,1.0106858590788428,10.521473285776677,53.584073373125634,17.861988644635318,0,0.00029116319697190275,0.00320279516669093,3.3734168001164653,3.3734168001164653,2.846411413597321,1.1674188382588442,0,0,94.5315184160722,0,58320,0,281,72378,102568,6942.401166012571,72272,368069,122694,0,2,22,23172,23172,19552,8019,0,0,649337,0,6869
c949ab48c4caa3729995af7ddf5d4af442e84eb970613fc802a56d4a05b50cf1,Advanced Micro Devices X86-64,Benignware,4.235294117647059,0,0.10588235294117647,9.023529411764706,8.6,0.6103074082139825,6.517647058823529,41.21176470588235,10.941176470588236,0,0,0,1.9764705882352942,1.9764705882352942,2.6,1.011764705882353,0,0,69.12941176470588,0,360,0,9,767,731,51.87612969818852,554,3503,930,0,0,0,168,168,221,86,0,0,5876,0,85
c26fb0504cf3c3db8e7884efcad590cfdd30fe91860d43ae58de86d198a8afc5,ARM,Benignware,3.0833333333333335,0,0,3.75,2.8333333333333335,0.4312169312169312,3.1666666666666665,3.75,5.083333333333333,0,0,0,0.75,0.75,1.0833333333333333,6.083333333333333,0,0,22.833333333333332,0,37,0,0,45,34,5.174603174603175,38,45,61,0,0,0,9,9,13,73,0,0,274,0,12
