file_name,CPU,label,Avg_ARITHMETIC,Avg_BITFIELD,Avg_BOOLEAN,Avg_BRANCHING,Avg_CFG_EDGES,Avg_CFG_EDGE_TO_NODE_RATIO,Avg_CFG_NODES,Avg_DATA_MOVING,Avg_EXTENSION,Avg_FLOATING_POINT,Avg_FLOATING_POINT_COMPARE,Avg_FLOATING_POINT_CONVERSION,Avg_FUNCTION_IN_DEGREE,Avg_FUNCTION_OUT_DEGREE,Avg_INTEGER_COMPARISON,Avg_LOGICAL,Avg_MANAGED,Avg_MISC,Avg_TOTAL_OPS,Avg_UNRECOGNIZED_OPS,Total_ARITHMETIC,Total_BITFIELD,Total_BOOLEAN,Total_BRANCHING,Total_CFG_EDGES,Total_CFG_EDGE_TO_NODE_RATIO,Total_CFG_NODES,Total_DATA_MOVING,Total_EXTENSION,Total_FLOATING_POINT,Total_FLOATING_POINT_COMPARE,Total_FLOATING_POINT_CONVERSION,Total_FUNCTION_IN_DEGREE,Total_FUNCTION_OUT_DEGREE,Total_INTEGER_COMPARISON,Total_LOGICAL,Total_MANAGED,Total_MISC,Total_TOTAL_OPS,Total_UNRECOGNIZED_OPS,Total_functions
ec74f0403470b8f0c70da4d7ed4afef74d50bab5f69220abbef4d20c564d8264,Advanced Micro Devices X86-64,benign,1.9285714285714286,0,0,6.5,7.571428571428571,0.8653769841269842,5.428571428571429,8.928571428571429,2.2857142857142856,0,0,0,0.2857142857142857,1.5,1.0714285714285714,0.2857142857142857,0,0,21,0,27,0,0,91,106,12.115277777777777,76,125,32,0,0,0,4,21,15,4,0,0,294,0,14
ec35f15b41f9ae8dbc181d49896ad39942e9df247e62554121e043032b2c8315,Advanced Micro Devices X86-64,benign,3.7083333333333335,0,0.041666666666666664,7.75,8.041666666666666,0.6752573815073815,6.083333333333333,37,8.333333333333334,0,0,0,0.9166666666666666,1.2083333333333333,2.8333333333333335,0.08333333333333333,0,0,59.75,0,89,0,1,186,193,16.206177156177155,146,888,200,0,0,0,22,29,68,2,0,0,1434,0,24
ec34dc67cf3b79244ed0fbb5607ee10b6cfccdc954b7866f64026e7a0776d4a5,Advanced Micro Devices X86-64,benign,14.1,0,0,16.8,26,0.4704856787048568,18.1,28.6,34.9,0,0,0,0.3,0.7,9,2.5,0,0,105.9,0,141,0,0,168,260,4.704856787048568,181,286,349,0,0,0,3,7,90,25,0,0,1059,0,10
ec787cae01d6a045c0ab8cf4200684ce50d478b399055aa26cd3d45647b5c59c,Advanced Micro Devices X86-64,benign,14.1,0,0,16.8,26,0.4704856787048568,18.1,28.6,34.9,0,0,0,0.3,0.7,9,2.5,0,0,105.9,0,141,0,0,168,260,4.704856787048568,181,286,349,0,0,0,3,7,90,25,0,0,1059,0,10
ece141d77307709cb1a5c5397a7a467e62da782cf6a467196d835a76f071e94f,Advanced Micro Devices X86-64,benign,14.1,0,0,16.8,26,0.4704856787048568,18.1,28.6,34.9,0,0,0,0.3,0.7,9,2.5,0,0,105.9,0,141,0,0,168,260,4.704856787048568,181,286,349,0,0,0,3,7,90,25,0,0,1059,0,10
ec06077c92606e0f001d8fb57812da2a62591b6a0e07b94bba6a327ed68955a9,Advanced Micro Devices X86-64,benign,14.1,0,0,16.8,26,0.4704856787048568,18.1,28.6,34.9,0,0,0,0.3,0.7,9,2.7,0,0,106.1,0,141,0,0,168,260,4.704856787048568,181,286,349,0,0,0,3,7,90,27,0,0,1061,0,10
eca6f732def4fd1fff69472ec6bbcd8cd5f2ae1436372b0d5036af27c0d432d4,ARM,benign,0.625,0,0,2.75,1.5,0.3333333333333333,2.375,3.875,1,0,0,0,0.125,0.5,0.625,0,0,0,8.875,0,5,0,0,22,12,2.6666666666666665,19,31,8,0,0,0,1,4,5,0,0,0,71,0,8
ec2935818793aab64cdcf22fc375688b5f3676d8c0ffdc228c464bf3d08f1dc7,ARM,benign,0.375,0,0,3.375,2,0.39999999999999997,2.625,4.75,1.5,0,0,0,0,0.5,0.875,0,0,0,10.875,0,3,0,0,27,16,3.1999999999999997,21,38,12,0,0,0,0,4,7,0,0,0,87,0,8
ecd2c9b9d54e67660bef6889eb8b6cc0c8a9a0cfb1ae28b82ee7254d65dc2ef3,ARM,benign,5.25,0,0,4.5,1.5,0.21428571428571427,4,6.25,7.75,0,0,0,0,0,2,0,0,0,25.75,0,21,0,0,18,6,0.8571428571428571,16,25,31,0,0,0,0,0,8,0,0,0,103,0,4
ecbb6b1bb51c9c34ac3e945dc70dc940ab933a731a6b5b376759228df2714b49,ARM,benign,3.6,0,0,5,6,0.8066666666666666,4.2,4.4,4.2,0,0,0,0,0,2.4,0.6,0,0,20.2,0,18,0,0,25,30,4.033333333333333,21,22,21,0,0,0,0,0,12,3,0,0,101,0,5
