Label,Function,SourceFile,Architecture
1,_init,Unknown,mips
2,.pic.prctl,Unknown,mips
3,.pic.malloc,Unknown,mips
4,.pic.socket,Unknown,mips
5,.pic.select,Unknown,mips
6,.pic.readdir,Unknown,mips
7,.pic.calloc,Unknown,mips
8,.pic.kill,Unknown,mips
9,.pic.bind,Unknown,mips
10,.pic.inet_addr,Unknown,mips
11,.pic.__deregister_frame_info,Unknown,mips
12,.pic.chdir,Unknown,mips
13,.pic.realloc,Unknown,mips
14,.pic.listen,Unknown,mips
15,.pic.time,Unknown,mips
16,.pic.opendir,Unknown,mips
17,.pic.exit,Unknown,mips
18,.pic.setsid,Unknown,mips
19,.pic.__register_frame_info,Unknown,mips
20,.pic.free,Unknown,mips
21,.pic.getsockname,Unknown,mips
22,_dl_start,Unknown,mips
23,abort,Unknown,mips
24,btree_release_tree_recursively,Unknown,mips
25,btree_destroy,Unknown,mips
26,release_registered_frames,Unknown,mips
27,_IO_stdfiles_init,Unknown,mips
28,__start,Unknown,mips
29,deregister_tm_clones,Unknown,mips
30,register_tm_clones,Unknown,mips
31,__do_global_dtors_aux,Unknown,mips
32,frame_dummy,Unknown,mips
33,attack_app_proxy,Unknown,mips
34,attack_app_http,Unknown,mips
35,attack_app_cfnull,Unknown,mips
36,attack_gre_ip,Unknown,mips
37,attack_gre_eth,Unknown,mips
38,attack_init,Unknown,mips
39,attack_kill_all,Unknown,mips
40,attack_parse,Unknown,mips
41,attack_start,Unknown,mips
42,attack_get_opt_str,Unknown,mips
43,attack_get_opt_int,Unknown,mips
44,attack_get_opt_ip,Unknown,mips
45,add_attack,Unknown,mips
46,free_opts,Unknown,mips
47,attack_tcp_syn,Unknown,mips
48,attack_tcp_ack,Unknown,mips
49,attack_tcp_stomp,Unknown,mips
50,attack_udp_generic,Unknown,mips
51,attack_udp_vse,Unknown,mips
52,attack_udp_dns,Unknown,mips
53,attack_udp_plain,Unknown,mips
54,get_dns_resolver,Unknown,mips
55,checksum_generic,Unknown,mips
56,checksum_tcpudp,Unknown,mips
57,killer_init,Unknown,mips
58,killer_kill,Unknown,mips
59,killer_kill_by_port,Unknown,mips
60,has_exe_access,Unknown,mips
61,memory_scan_match,Unknown,mips
62,mem_exists,Unknown,mips
63,main,Unknown,mips
64,anti_gdb_entry,Unknown,mips
65,resolve_cnc_addr,Unknown,mips
66,establish_connection,Unknown,mips
67,teardown_connection,Unknown,mips
68,ensure_single_instance,Unknown,mips
69,unlock_tbl_if_nodebug,Unknown,mips
70,rand_init,Unknown,mips
71,rand_next,Unknown,mips
72,rand_str,Unknown,mips
73,rand_alphastr,Unknown,mips
74,resolv_domain_to_hostname,Unknown,mips
75,resolv_skip_name,Unknown,mips
76,resolv_lookup,Unknown,mips
77,resolv_entries_free,Unknown,mips
78,table_init,Unknown,mips
79,table_unlock_val,Unknown,mips
80,table_lock_val,Unknown,mips
81,table_retrieve_val,Unknown,mips
82,add_entry,Unknown,mips
83,toggle_obf,Unknown,mips
84,util_strlen,Unknown,mips
85,util_strncmp,Unknown,mips
86,util_strcmp,Unknown,mips
87,util_strcpy,Unknown,mips
88,util_memcpy,Unknown,mips
89,util_zero,Unknown,mips
90,util_atoi,Unknown,mips
91,util_itoa,Unknown,mips
92,util_memsearch,Unknown,mips
93,util_stristr,Unknown,mips
94,util_local_addr,Unknown,mips
95,util_fdgets,Unknown,mips
96,util_isupper,Unknown,mips
97,util_isalpha,Unknown,mips
98,util_isspace,Unknown,mips
99,util_isdigit,Unknown,mips
100,call_fini,Unknown,mips
101,__libc_start_call_main,Unknown,mips
102,__libc_start_main_impl,Unknown,mips
103,__libc_setup_tls,Unknown,mips
104,__tls_get_addr,Unknown,mips
105,.pic.__errno_location,Unknown,mips
106,__errno_location,Unknown,mips
107,_setjmp,Unknown,mips
108,.pic.signal,Unknown,mips
109,__bsd_signal,Unknown,mips
110,.pic.raise,Unknown,mips
111,raise,Unknown,mips
112,__sigaction,Unknown,mips
113,__libc_sigaction,Unknown,mips
114,.pic.sigprocmask,Unknown,mips
115,__sigprocmask,Unknown,mips
116,__syscall_error,Unknown,mips
117,__kill,Unknown,mips
118,.pic.sigemptyset,Unknown,mips
119,sigemptyset,Unknown,mips
120,.pic.sigaddset,Unknown,mips
121,sigaddset,Unknown,mips
122,.pic.atoi,Unknown,mips
123,atoi,Unknown,mips
124,__new_exitfn,Unknown,mips
125,__internal_atexit,Unknown,mips
126,__cxa_atexit,Unknown,mips
127,__run_exit_handlers,Unknown,mips
