Family,Count,F1_Score,F1_StdDev,Precision,Recall,Detection_Rate
mirai,132,0.9946647692957136,0.00566845508374021,1.0,0.9894491601190664,0.9894491601190664
gafgyt,27,0.9896410256410256,0.01497014341786173,1.0,0.9799220272904485,0.9799220272904485
