Family,Count,F1_Score,F1_StdDev,Precision,Recall,Detection_Rate
mirai,89,0.9828486455451095,0.008183718881457877,1.0,0.9664029577914619,0.9664029577914619
gafgyt,18,0.9707713185141366,0.019139820743613235,1.0,0.9438748386116806,0.9438748386116806
