Feature,Benign Mean,Malware Mean,Absolute Difference,Percent Difference,Effect Size
Avg_CFG_EDGE_TO_NODE_RATIO,0.6731679143398608,1.0486886377098408,0.37552072336998,35.80860036684043,2.5316506434397663
Avg_BRANCHING,7.528822628251385,18.64407755268469,11.115254924433303,59.61815430676934,2.4262192400506044
Avg_INTEGER_COMPARISON,1.705761510155314,8.056695993921275,6.350934483765961,78.82802688046937,2.2422417005121065
Avg_TOTAL_OPS,70.03003808358429,279.63236306748666,209.60232498390238,74.95639012760365,1.7850400781912907
Avg_CFG_EDGES,10.142818146413937,29.81537301340282,19.672554866988882,65.98124684921947,1.647562668461768
Avg_CFG_NODES,7.783882214154778,21.241680616726114,13.457798402571337,63.35561976190529,1.4449660445376267
Avg_DATA_MOVING,39.13938782439525,178.65036542930122,139.51097760490597,78.09162733569431,1.4109822189884575
Avg_EXTENSION,13.467396492038826,42.67681456516385,29.209418073125025,68.44329496177541,1.364529944581596
Avg_LOGICAL,0.6840567722674229,5.920377223564232,5.236320451296809,88.44572319573241,1.2028828259250441
Avg_ARITHMETIC,7.468306703479892,25.477019521414217,18.008712817934324,70.68610518902122,0.8440381649620128
Total_functions,1109.337106918239,179.73451327433628,929.6025936439028,517.2087300923732,0.7713676971262576
Avg_FLOATING_POINT_COMPARE,0.0007560104052461177,0.011911685968689177,0.01115567556344306,93.6532040281002,0.7486187606067255
Total_FLOATING_POINT_COMPARE,0.43018867924528303,2.8369152970922884,2.4067266178470055,84.83604076278883,0.738312619844141
Total_FUNCTION_OUT_DEGREE,3359.4515723270442,510.6106194690266,2848.8409528580178,557.9282616214423,0.6979515694319135
Total_FUNCTION_IN_DEGREE,3359.9245283018868,511.01137800252843,2848.913150299358,557.5048370616245,0.697890711420839
Total_CFG_EDGE_TO_NODE_RATIO,967.3985564806993,187.14669704231696,780.2518594383823,416.919919918199,0.6443164286190984
Avg_FUNCTION_IN_DEGREE,2.296014345566324,2.7734719792326263,0.47745763366630234,17.215159815618794,0.6006643488184653
Avg_FUNCTION_OUT_DEGREE,2.2958259746561955,2.772439575473163,0.4766136008169677,17.191126725841286,0.5996485588124871
Total_CFG_NODES,10920.366037735848,3203.797724399494,7716.568313336355,240.85691348640665,0.5916157600468409
Total_ARITHMETIC,9978.65534591195,3277.9595448798987,6700.69580103205,204.41667169133893,0.5882600548926221
Total_BRANCHING,10605.25534591195,3103.51201011378,7501.74333579817,241.71787675869643,0.5865254320785455
Total_CFG_EDGES,14959.651572327044,4551.338811630847,10408.312760696197,228.68683680718254,0.5681906632172975
Avg_BOOLEAN,0.029518369076057517,0.15388203280755283,0.12436366373149532,80.81753370585271,0.552511969713628
Total_EXTENSION,18428.562264150944,6299.806573957017,12128.755690193928,192.52584262401643,0.5441037034749361
Avg_FLOATING_POINT,0.0024293778459227406,0.020258113352141664,0.017828735506218923,88.00787712215111,0.5260659700048198
Avg_FLOATING_POINT_CONVERSION,0.0036023956689742384,0.020960949308795843,0.017358553639821604,82.81377615152876,0.473415283070822
Total_TOTAL_OPS,94543.44528301887,44272.88369152971,50270.56159148916,113.54706854368948,0.4348795382868226
Total_INTEGER_COMPARISON,2597.1798742138367,1267.0998735777496,1330.080000636087,104.97041538489846,0.3893751021459916
Total_FLOATING_POINT,1.979874213836478,4.8293299620733245,2.8494557482368466,59.00312818993052,0.37990409184446894
Total_DATA_MOVING,51833.666666666664,29504.05689001264,22329.609776654022,75.68318438340856,0.3412982063364389
Total_BOOLEAN,42.353459119496854,28.721871049304678,13.631588070192176,47.46065479784327,0.22304002582268728
Total_LOGICAL,1051.8088050314466,779.0012642225032,272.8075408089434,35.02016663364777,0.1762496742932892
Total_FLOATING_POINT_CONVERSION,3.5534591194968552,5.059418457648547,1.5059593381516914,29.765463180359514,0.1600134101881569
