,ARM,Advanced Micro Devices X86-64,Intel 80386,MIPS R3000
ARM,1.0,0.6205493387589013,0.8015151515151515,0.5440613026819924
Advanced Micro Devices X86-64,0.8888888888888888,1.0,0.9817495280050346,0.8390941597139452
Intel 80386,0.8387850467289719,0.9441997063142438,1.0,0.7472979927946475
MIPS R3000,0.8660220994475138,0.9243959469992206,0.9674479166666666,1.0
