,precision,recall,f1-score,support
gafgyt,0.9074074074074074,0.3161290322580645,0.4688995215311005,155.0
mirai,0.8567567567567568,0.9921752738654147,0.9195068890500363,639.0
accuracy,0.8602015113350125,0.8602015113350125,0.8602015113350125,0.8602015113350125
macro avg,0.882082082082082,0.6541521530617396,0.6942032052905684,794.0
weighted avg,0.86664447823138,0.8602015113350125,0.8315419747358863,794.0
