Architecture,Mean F1 Score,Std F1 Score,CV F1 Score
ARM,0.5681688247195527,0.010805961413932263,0.9806177354055112
Advanced Micro Devices X86-64,0.7455512782454706,0.005041929060378812,0.9733699291505215
Intel 80386,0.747392257628458,0.0062204884018807055,0.9936748160638993
MIPS R3000,0.9419561239384692,0.00461181732662693,0.9703834869647572
all,0.9532123316610898,0.004301766863019121,0.9781144526046134
Self-PowerPC,0.9905160091278387,0.006021427311566818,0.9905160091278387
