,ARM,Advanced Micro Devices X86-64,Intel 80386,MIPS R3000
ARM,1.0,0.4498525073746313,0.6687737041719343,0.3837837837837838
Advanced Micro Devices X86-64,0.9858793324775353,1.0,0.9860935524652339,0.9513513513513514
Intel 80386,0.9216944801026957,0.948377581120944,1.0,0.981081081081081
MIPS R3000,0.8048780487804879,0.8746312684365781,0.9393173198482933,1.0
