Feature,Benign Mean,Malware Mean,Absolute Difference,Percent Difference,Effect Size
Avg_CFG_EDGE_TO_NODE_RATIO,0.6233701731154925,1.0618165373123323,0.4384463641968398,41.29210167574092,1.6873577168218972
Avg_CFG_EDGES,12.320315823827652,27.02733422772003,14.707018403892377,54.41534958637699,1.15553472529823
Avg_BRANCHING,9.83944540296889,17.799487436755513,7.960042033786623,44.72062502962489,1.1157695806301766
Avg_BOOLEAN,0.2942734607104709,0.9870929695331401,0.6928195088226692,70.18786783076251,1.1090397590787011
Avg_INTEGER_COMPARISON,3.7455397919814035,8.622998574796707,4.877458782815303,56.56337224815432,1.0851452154503196
Avg_CFG_NODES,8.938574627292855,18.75481971351257,9.816245086219716,52.33985309465415,1.081783127969287
Avg_TOTAL_OPS,80.40753616036156,240.00237970100633,159.59484354064477,66.49719212762271,0.9900933712626004
Avg_LOGICAL,2.442277379064398,7.906866284232334,5.464588905167936,69.11194281943628,0.9403206572504285
Avg_ARITHMETIC,8.325870184101078,21.698004210244182,13.372134026143105,61.628405527867756,0.85445815397644
Avg_EXTENSION,15.742462180703287,35.102501617497026,19.36003943679374,55.15287670307699,0.8099464279818078
Avg_DATA_MOVING,40.01734071229612,147.88542860794746,107.86808789565134,72.94030852871629,0.8086672532921112
Avg_FUNCTION_OUT_DEGREE,1.8858253559037381,2.521756510063798,0.6359311541600601,25.217785762510893,0.6520940963432911
Avg_FUNCTION_IN_DEGREE,1.890067506397457,2.52209334368407,0.632025837286613,25.05957358276838,0.6469400037131995
Total_FUNCTION_IN_DEGREE,1492.9186602870814,551.017971758665,941.9006885284164,170.93828818725902,0.26136296625105926
Total_FUNCTION_OUT_DEGREE,1491.725677830941,550.9614890885751,940.764188742366,170.74953646916768,0.2610442741669533
Total_BOOLEAN,113.22966507177034,194.25032092426187,81.02065585249153,41.709406433403764,0.2609041881539124
Total_functions,508.40031897926633,205.6777920410783,302.722526938188,147.18289414431663,0.25893642338789924
Total_CFG_EDGE_TO_NODE_RATIO,448.89934668006345,217.62284845569118,231.27649822437226,106.2739964418125,0.21515411142874882
Total_BRANCHING,6739.370015948964,3409.4017971758667,3329.968218773097,97.67016083382816,0.20556335415655905
Total_CFG_NODES,5945.821371610846,3362.1360718870346,2583.685299723811,76.84654173659575,0.18243939425405176
Total_CFG_EDGES,8608.985645933015,4871.15917843389,3737.826467499125,76.73381900652365,0.17758901378246544
Total_ARITHMETIC,5539.323763955343,3426.849807445443,2112.4739565099,61.64477800924257,0.15294245917662008
Total_EXTENSION,9224.91706539075,6146.175866495507,3078.7411988952426,50.09198021290453,0.13954924315102918
Total_INTEGER_COMPARISON,2408.8915470494417,1608.1720154043646,800.719531645077,49.79066442987078,0.1330275446478223
Total_FLOATING_POINT_CONVERSION,0.017543859649122806,0.0,0.017543859649122806,inf,0.10232034473161737
Avg_FLOATING_POINT_CONVERSION,0.00013301065152337258,0.0,0.00013301065152337258,inf,0.08755857907502738
Avg_FLOATING_POINT,0.00011623806331540543,0.0,0.00011623806331540543,inf,0.08116923106193827
Total_FLOATING_POINT,0.05901116427432217,0.0,0.05901116427432217,inf,0.06888456723795242
Total_TOTAL_OPS,50966.17384370016,42448.25930680359,8517.91453689657,20.06658147117783,0.0682613498131271
Avg_FLOATING_POINT_COMPARE,7.779982106041149e-05,0.0,7.779982106041149e-05,inf,0.05647824947249051
Total_FLOATING_POINT_COMPARE,0.006379585326953748,0.0,0.006379585326953748,inf,0.05647824947249051
Total_LOGICAL,1161.4960127591708,1290.1514762516047,128.6554634924339,9.97212078276486,0.048545467374114616
Total_DATA_MOVING,25778.86283891547,26373.258023106548,594.3951841910784,2.253779884420452,0.008918859497566512
