Train CPU,Test CPU,Accuracy,Precision,Recall,F1 Score
ARM,PowerPC,0.6952141057934509,0.9166666666666666,0.42947103274559195,0.5849056603773585
all,PowerPC,0.9521410579345088,0.9263657957244655,0.982367758186398,0.9535452322738386
