file_name,CPU,label,Avg_ARITHMETIC,Avg_BITFIELD,Avg_BOOLEAN,Avg_BRANCHING,Avg_CFG_EDGES,Avg_CFG_EDGE_TO_NODE_RATIO,Avg_CFG_NODES,Avg_DATA_MOVING,Avg_EXTENSION,Avg_FLOATING_POINT,Avg_FLOATING_POINT_COMPARE,Avg_FLOATING_POINT_CONVERSION,Avg_FUNCTION_IN_DEGREE,Avg_FUNCTION_OUT_DEGREE,Avg_INTEGER_COMPARISON,Avg_LOGICAL,Avg_MANAGED,Avg_MISC,Avg_TOTAL_OPS,Avg_UNRECOGNIZED_OPS,Total_ARITHMETIC,Total_BITFIELD,Total_BOOLEAN,Total_BRANCHING,Total_CFG_EDGES,Total_CFG_EDGE_TO_NODE_RATIO,Total_CFG_NODES,Total_DATA_MOVING,Total_EXTENSION,Total_FLOATING_POINT,Total_FLOATING_POINT_COMPARE,Total_FLOATING_POINT_CONVERSION,Total_FUNCTION_IN_DEGREE,Total_FUNCTION_OUT_DEGREE,Total_INTEGER_COMPARISON,Total_LOGICAL,Total_MANAGED,Total_MISC,Total_TOTAL_OPS,Total_UNRECOGNIZED_OPS,Total_functions
2051abd03078fa0be93f07556912627c993c464c0732a1f9ac88c734db7873d4,Advanced Micro Devices X86-64,gafgyt,21.51923076923077,0,0.0961538461538461,16.73076923076923,21.192307692307693,1.005419287054501,15.865384615384617,109.46153846153848,33.05769230769231,0.0,0.0,0.0,1.3846153846153846,1.4038461538461535,6.211538461538462,2.0384615384615383,0,0,189.1153846153846,0,1119,0,5,870,1102,52.28180292683404,825,5692,1719,0,0,0,72,73,323,106,0,0,9834,0,52
20f52cbfef1220361430a02baebfa52646972b83b7eabb2fa1743a0f5e8c76e7,Advanced Micro Devices X86-64,gafgyt,23.46153846153846,0,0.1153846153846153,18.46153846153846,22.5,0.9907513508270774,17.23076923076923,128.0,29.807692307692307,0.0,0.0,0.0,1.3846153846153846,1.4038461538461535,6.153846153846154,2.1346153846153846,0,0,208.1346153846154,0,1220,0,6,960,1170,51.51907024300802,896,6656,1550,0,0,0,72,73,320,111,0,0,10823,0,52
20ef3755dfbdcb059cd6b43e11220c78f3e31c018d5d170c4064f6f126e10638,Advanced Micro Devices X86-64,gafgyt,23.173076923076923,0,0.1153846153846153,18.57692307692308,22.71153846153846,0.991402214745917,17.346153846153847,123.3653846153846,31.26923076923077,0.0,0.0,0.0,1.3846153846153846,1.4038461538461535,6.269230769230769,2.173076923076923,0,0,204.94230769230768,0,1205,0,6,966,1181,51.552915166787685,902,6415,1626,0,0,0,72,73,326,113,0,0,10657,0,52
205d37ef3f3425d00eb88399ab47a6462e0eeabafa8cf667bb997f4702be08f5,Advanced Micro Devices X86-64,mirai,12.631901840490798,0,0.2515337423312883,13.705521472392638,18.803680981595093,0.846532218705196,13.14723926380368,75.76073619631902,28.466257668711656,0.0245398773006134,0.0,0.0061349693251533,2.7300613496932518,2.736196319018405,5.049079754601227,3.239263803680981,0,0,139.13496932515338,0,2059,0,41,2234,3065,137.98475164894697,2143,12349,4640,4,0,1,445,446,823,528,0,0,22679,0,163
20c91ca548dc8ef173b1618741c3f9ad02f2ce28d3179d3201a2038795785b2f,Advanced Micro Devices X86-64,tsunami,11.11904761904762,0,0.0,17.38095238095238,18.0,1.0332879680169276,12.11904761904762,92.54761904761904,29.02380952380953,0.0,0.0,0.0,1.4523809523809523,1.4761904761904765,4.880952380952381,0.9523809523809524,0,0,155.9047619047619,0,467,0,0,730,756,43.39809465671095,509,3887,1219,0,0,0,61,62,205,40,0,0,6548,0,42
20db312720aebe88da9be0f45b2cd32a8ba840d298760a8947838ca6361c3212,Advanced Micro Devices X86-64,tsunami,9.325581395348838,0,0.0465116279069767,15.767441860465116,16.093023255813954,1.0072572978775405,11.0,111.09302325581396,29.186046511627907,0.0,0.0,0.0,1.372093023255814,1.3953488372093024,4.325581395348837,1.255813953488372,0,0,171.0,0,401,0,2,678,692,43.31206380873424,473,4777,1255,0,0,0,59,60,186,54,0,0,7353,0,43
20b403bdaac5a725e337cff2929516afcb491c7f5aaecc2406d8edd4722d4c5d,Advanced Micro Devices X86-64,tsunami,18.19047619047619,0,0.119047619047619,20.476190476190474,24.19047619047619,1.0565115135314858,15.666666666666666,139.0,39.38095238095238,0.0,0.0,0.0,1.380952380952381,1.4047619047619049,6.428571428571429,1.5952380952380951,0,0,225.1904761904762,0,764,0,5,860,1016,44.3734835683224,658,5838,1654,0,0,0,58,59,270,67,0,0,9458,0,42
204a5abb6a8b4cd2fb0c5a819291272631f0d26fef4f6db823270efb1988b9db,Advanced Micro Devices X86-64,tsunami,17.38095238095238,0,0.2142857142857142,20.59523809523809,24.476190476190474,1.055803104897956,15.88095238095238,140.78571428571428,38.97619047619048,0.0,0.0,0.0,1.4047619047619049,1.4285714285714286,6.619047619047619,1.5238095238095235,0,0,226.0952380952381,0,730,0,9,865,1028,44.34373040571416,667,5913,1637,0,0,0,59,60,278,64,0,0,9496,0,42
2093969ac585ec61cb489d750537b3233dcb8a9f6ecf9a89fffaf33d6c229718,Advanced Micro Devices X86-64,tsunami,10.166666666666666,0,0.0714285714285714,16.904761904761905,18.047619047619047,1.0513970128630077,11.857142857142858,128.64285714285714,37.595238095238095,0.0,0.0,0.0,1.4285714285714286,1.4523809523809523,5.190476190476191,1.238095238095238,0,0,199.8095238095238,0,427,0,3,710,758,44.15867454024631,498,5403,1579,0,0,0,60,61,218,52,0,0,8392,0,42
20d34426ec52321420456d17f3a836f9fd9ec42d37ac3598f998760174588c68,Advanced Micro Devices X86-64,tsunami,14.439024390243905,0,0.1219512195121951,19.170731707317078,22.92682926829268,1.0891288348400745,14.731707317073171,148.97560975609755,55.41463414634146,0.0,0.0,0.0,0.8292682926829268,5.170731707317073,6.829268292682927,2.8292682926829267,0,0,247.78048780487805,0,592,0,5,786,940,44.65428222844304,604,6108,2272,0,0,0,34,212,280,116,0,0,10159,0,41
20d469e90d1691929d02cbe2e78ccd4d777aa97a715183743ac2036fa58d380b,ARM,gafgyt,339.0,0,0.0,6.0,243.0,1.0041322314049588,242.0,4147.0,391.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0,0,4888.0,0,339,0,0,6,243,1.0041322314049588,242,4147,391,0,0,0,0,0,1,4,0,0,4888,0,1
20fe62cdd2566c41a1e2c663a5437abc35e6e4511f2bc6ac83c2b736146be7e3,ARM,gafgyt,22.153846153846157,0,0.6346153846153846,24.57692307692308,29.807692307692307,1.217752861514641,20.346153846153847,127.9423076923077,34.65384615384615,0.0,0.0,0.0,1.4807692307692308,5.557692307692308,9.23076923076923,4.115384615384615,0,0,223.30769230769232,0,1152,0,33,1278,1550,63.32314879876133,1058,6653,1802,0,0,0,77,289,480,214,0,0,11612,0,52
