Config,ARM Address,ARM Function Name,ARM Called Count,ARM Calling Count,ARM Param Count,ARM CBranch Count,ARM Set Size,ARM Sequence Length,MIPS Address,MIPS Function Name,MIPS Called Count,MIPS Calling Count,MIPS Param Count,MIPS CBranch Count,MIPS Set Size,MIPS Sequence Length,Similarity Score,Intersection Size,Union Size,CLS Length,CLS Similarity Score,UserDefined
opt_O3,0x000359c4,_IO_marker_difference,0,0,2,0,4,6,0x0042dfd8,_IO_marker_difference,0,0,2,0,4,6,1.0,4,4,6,1.0,0
opt_O3,0x000316e4,_IO_new_do_write,7,1,3,2,8,11,0x00428a8c,_IO_new_do_write,7,1,3,1,8,10,0.6,6,10,7,0.6666666666666666,0
opt_O3,0x00057628,_IO_new_fclose,3,10,1,28,22,298,0x0045a3d0,_IO_new_fclose,3,8,1,22,23,224,0.8,20,25,158,0.6053639846743295,0
opt_O3,0x00031544,_IO_new_file_attach,0,2,2,4,20,56,0x00428848,_IO_new_file_attach,0,1,2,4,21,57,0.782608695652174,18,23,33,0.584070796460177,0
opt_O3,0x00031708,_IO_new_file_close_it,2,8,1,8,20,117,0x00428ae4,_IO_new_file_close_it,2,8,1,8,20,118,1.0,20,20,99,0.8425531914893617,0
opt_O3,0x00031cf4,_IO_new_file_finish,0,4,2,4,17,47,0x00429258,_IO_new_file_finish,0,4,2,4,17,47,1.0,17,17,46,0.9787234042553191,0
opt_O3,0x00031894,_IO_new_file_fopen,1,11,4,29,24,401,0x00428d04,_IO_new_file_fopen,1,9,4,29,25,606,0.8846153846153846,23,26,318,0.631578947368421,0
opt_O3,0x000313ec,_IO_new_file_init,0,1,1,0,8,22,0x0042865c,_IO_new_file_init,0,1,1,0,8,22,1.0,8,8,20,0.9090909090909091,0
opt_O3,0x000313b4,_IO_new_file_init_internal,1,1,1,0,8,22,0x00428600,_IO_new_file_init_internal,1,1,1,0,8,22,1.0,8,8,20,0.9090909090909091,0
opt_O3,0x0003226c,_IO_new_file_overflow,4,5,2,17,24,182,0x004299bc,_IO_new_file_overflow,4,4,2,18,22,190,0.84,21,25,129,0.6935483870967742,0
opt_O3,0x000325f4,_IO_new_file_seekoff,0,7,4,41,32,576,0x00429e60,_IO_new_file_seekoff,0,6,4,50,30,517,0.8235294117647058,28,34,365,0.6678865507776761,0
opt_O3,0x0003163c,_IO_new_file_setbuf,1,1,3,1,8,20,0x00428988,_IO_new_file_setbuf,1,1,3,1,9,21,0.7,7,10,17,0.8292682926829268,0
opt_O3,0x00032454,_IO_new_file_sync,0,4,1,7,19,75,0x00429c4c,_IO_new_file_sync,0,3,1,7,21,79,0.9047619047619048,19,21,63,0.8181818181818182,0
opt_O3,0x00031d94,_IO_new_file_underflow,0,9,1,28,26,409,0x0042935c,_IO_new_file_underflow,0,7,1,25,24,334,0.8518518518518519,23,27,253,0.6810228802153432,0
opt_O3,0x00032e14,_IO_new_file_write,0,2,3,5,19,63,0x0042a9dc,_IO_new_file_write,0,2,3,6,19,68,0.9,18,20,50,0.7633587786259542,0
