Config,ARM Address,ARM Function Name,ARM Called Count,ARM Calling Count,ARM Param Count,ARM CBranch Count,ARM Set Size,ARM Sequence Length,MIPS Address,MIPS Function Name,MIPS Called Count,MIPS Calling Count,MIPS Param Count,MIPS CBranch Count,MIPS Set Size,MIPS Sequence Length,Similarity Score,Intersection Size,Union Size,CLS Length,CLS Similarity Score,UserDefined
opt_inline,0x00066048,___dlmopen,0,2,3,1,8,15,0x0046f738,___dlmopen,0,2,3,1,9,19,0.5454545454545454,6,11,13,0.7647058823529411,0
opt_inline,0x000661a8,___dlopen,0,2,2,1,8,13,0x0046f8f0,___dlopen,0,2,2,1,9,17,0.5454545454545454,6,11,11,0.7333333333333333,0
opt_inline,0x00066260,___dlsym,0,4,2,1,9,27,0x0046fa3c,___dlsym,0,4,2,1,10,32,0.7272727272727273,8,11,24,0.8135593220338984,0
opt_inline,0x00066338,___dlvsym,0,4,3,1,9,31,0x0046fbc4,___dlvsym,0,4,3,1,10,36,0.7272727272727273,8,11,28,0.835820895522388,0
opt_inline,0x00053f48,___printf_fp,0,7,3,1,9,31,0x004577c4,___printf_fp,0,6,3,1,11,29,0.8181818181818182,9,11,23,0.7666666666666667,0
opt_inline,0x000350f4,___pthread_mutex_lock,13,4,1,37,24,456,0x0042eff0,___pthread_mutex_lock,15,3,1,26,22,309,0.7692307692307693,20,26,239,0.6248366013071895,0
opt_inline,0x00035c20,___pthread_mutex_unlock,13,1,1,0,3,3,0x0042fc4c,___pthread_mutex_unlock,15,1,1,0,3,3,1.0,3,3,3,1.0,0
opt_inline,0x00035e28,___pthread_once,1,2,2,1,8,11,0x0042ff3c,___pthread_once,3,2,2,1,9,11,0.8888888888888888,8,9,9,0.8181818181818182,0
opt_inline,0x000595ec,___pthread_rwlock_init,1,1,2,2,15,30,0x0045eba0,___pthread_rwlock_init,1,1,2,1,14,24,0.8125,13,16,16,0.5925925925925926,0
opt_inline,0x0005963c,___pthread_rwlock_rdlock,3,6,1,27,27,197,0x0045ec20,___pthread_rwlock_rdlock,3,2,1,23,22,183,0.75,21,28,126,0.6631578947368421,0
opt_inline,0x00059910,___pthread_rwlock_unlock,5,4,1,24,21,180,0x0045ef80,___pthread_rwlock_unlock,5,1,1,14,19,118,0.7391304347826086,17,23,78,0.5234899328859061,0
opt_inline,0x00059b90,___pthread_rwlock_wrlock,5,7,1,48,28,332,0x0045f260,___pthread_rwlock_wrlock,6,3,1,41,23,322,0.8214285714285714,23,28,187,0.5718654434250765,0
opt_inline,0x00058e68,___vsnprintf,0,2,4,3,11,36,0x0045e2c8,___vsnprintf,0,2,4,3,11,35,0.8333333333333334,10,12,26,0.7323943661971831,0
opt_inline,0x00028a24,__add_to_environ,1,12,4,23,20,288,0x0041ea60,__add_to_environ,1,11,4,19,18,226,0.8095238095238095,17,21,177,0.688715953307393,0
opt_inline,0x00022960,__alloc_dir,1,3,4,8,13,54,0x00416a4c,__alloc_dir,1,3,4,8,14,64,0.8,12,15,43,0.7288135593220338,0
opt_inline,0x0005a07c,__argz_add_sep,1,2,4,7,15,59,0x0045f860,__argz_add_sep,1,2,4,7,15,53,0.875,14,16,40,0.7142857142857143,0
opt_inline,0x0005a140,__argz_create_sep,1,3,4,8,16,50,0x0045f980,__argz_create_sep,1,3,4,8,16,53,0.8823529411764706,15,17,32,0.6213592233009708,0
opt_inline,0x0006644c,__atomic_wide_counter_fetch_add_relaxed,1,2,2,1,14,31,0x0046fdb0,__atomic_wide_counter_fetch_add_relaxed,7,1,2,1,14,36,0.75,12,16,21,0.6268656716417911,0
opt_inline,0x000664a4,__atomic_wide_counter_load_relaxed,3,1,1,1,14,23,0x0046fe14,__atomic_wide_counter_load_relaxed,9,0,1,3,16,36,0.5789473684210527,11,19,16,0.5423728813559322,0
opt_inline,0x000258d0,__bind,3,1,3,1,7,8,0x0041ab80,__bind,1,1,3,1,7,9,0.4,4,10,5,0.5882352941176471,0
opt_inline,0x00024924,__brk,1,1,1,0,3,5,0x004193f0,__brk,1,0,1,2,11,20,0.2727272727272727,3,11,5,0.4,0
opt_inline,0x00019518,__bsd_signal,1,2,2,4,20,63,0x0040b660,__bsd_signal,0,1,2,4,22,70,0.8260869565217391,19,23,39,0.5864661654135338,0
opt_inline,0x00023b50,__chdir,1,1,1,1,7,9,0x00418200,__chdir,1,1,1,1,7,9,0.4,4,10,5,0.5555555555555556,0
opt_inline,0x00038fac,__chk_fail,2,1,0,0,3,3,0x004344c0,__chk_fail,2,1,0,0,3,3,1.0,3,3,3,1.0,0
opt_inline,0x00028f18,__clearenv,1,4,0,6,16,83,0x0041f0d8,__clearenv,1,3,0,4,12,47,0.6470588235294118,11,17,36,0.5538461538461539,0
opt_inline,0x00022788,__clock_gettime,0,2,2,2,11,21,0x00416708,__clock_gettime,0,1,2,2,12,22,0.9166666666666666,11,12,19,0.8837209302325582,0
opt_inline,0x00022658,__clock_gettime64,5,1,2,7,18,106,0x004165d0,__clock_gettime64,5,0,2,8,17,106,0.9444444444444444,17,18,82,0.7735849056603774,0
opt_inline,0x0005a93c,__clock_nanosleep,0,2,4,7,14,46,0x0046063c,__clock_nanosleep,0,1,4,3,11,35,0.5625,9,16,16,0.3950617283950617,0
opt_inline,0x0005a898,__clock_nanosleep_time64,2,2,4,3,10,25,0x00460560,__clock_nanosleep_time64,3,2,4,4,12,28,0.5714285714285714,8,14,17,0.6415094339622641,0
opt_inline,0x00023b6c,__close,18,3,1,3,14,44,0x00418240,__close,0,2,1,5,17,47,0.8235294117647058,14,17,27,0.5934065934065934,0
opt_inline,0x00024508,__close_nocancel,22,1,1,1,11,14,0x00418f90,__close_nocancel,21,0,1,1,8,11,0.5833333333333334,7,12,8,0.64,0
opt_inline,0x000227ec,__closedir,4,3,1,1,9,13,0x004167b0,__closedir,2,2,1,1,10,13,0.9,9,10,12,0.9230769230769231,0
opt_inline,0x0001a734,__correctly_grouped_prefixmb,2,2,4,19,18,120,0x0040ca80,__correctly_grouped_prefixmb,2,2,4,21,17,143,0.75,15,20,78,0.5931558935361216,0
opt_inline,0x00024808,__cp_stat64_t64_stat64,4,2,2,3,12,161,0x004192b0,__cp_stat64_t64_stat64,4,1,2,3,15,158,0.8,12,15,116,0.7272727272727273,0
opt_inline,0x00028818,__ctype_b_loc,0,1,0,0,4,4,0x0041e800,__ctype_b_loc,0,0,0,0,4,4,0.6,3,5,3,0.75,0
opt_inline,0x00028874,__ctype_init,1,1,0,0,7,27,0x0041e860,__ctype_init,1,0,0,0,7,27,0.75,6,8,20,0.7407407407407407,0
opt_inline,0x00028854,__ctype_tolower_loc,0,1,0,0,4,4,0x0041e840,__ctype_tolower_loc,0,0,0,0,4,4,0.3333333333333333,2,6,1,0.25,0
opt_inline,0x00028834,__ctype_toupper_loc,0,1,0,0,4,4,0x0041e820,__ctype_toupper_loc,0,0,0,0,4,4,0.3333333333333333,2,6,1,0.25,0
opt_inline,0x0005e888,__current_locale_name,1,1,1,0,8,11,0x00465a90,__current_locale_name,1,0,1,0,7,10,0.6666666666666666,6,9,8,0.7619047619047619,0
opt_inline,0x00019b90,__cxa_atexit,1,1,3,0,3,3,0x0040be0c,__cxa_atexit,1,1,3,0,3,3,1.0,3,3,3,1.0,0
opt_inline,0x0004c3a8,__dcgettext,3,1,3,0,2,2,0x0044d5c0,__dcgettext,3,1,3,0,2,2,1.0,2,2,2,1.0,0
opt_inline,0x0004cfd8,__dcigettext,1,22,6,45,26,2057,0x0044e644,__dcigettext,1,21,6,48,24,2343,0.7857142857142857,22,28,1824,0.8290909090909091,0
opt_inline,0x00064a90,__dl_find_object,1,5,2,29,24,954,0x0046da8c,__dl_find_object,2,4,2,33,22,680,0.84,21,25,580,0.7099143206854345,0
opt_inline,0x0005c0ac,__dl_libc_freemem,0,2,0,10,13,249,0x00462528,__dl_libc_freemem,0,2,0,10,13,261,1.0,13,13,235,0.9215686274509803,0
opt_inline,0x000659ac,__dladdr,0,1,2,0,2,2,0x0046ee50,__dladdr,0,1,2,0,2,2,1.0,2,2,2,1.0,0
opt_inline,0x000659b8,__dladdr1,0,1,4,2,8,13,0x0046ee70,__dladdr1,0,1,4,2,8,13,1.0,8,8,13,1.0,0
opt_inline,0x000659e0,__dlclose,0,2,1,1,8,9,0x0046eec0,__dlclose,0,2,1,0,7,7,0.6666666666666666,6,9,6,0.75,0
opt_inline,0x00065a08,__dlerror,0,5,0,12,16,128,0x0046ef00,__dlerror,0,4,0,12,17,125,0.9411764705882353,16,17,109,0.8616600790513834,0
opt_inline,0x00065f04,__dlinfo,0,2,3,0,5,13,0x0046f5b8,__dlinfo,0,2,3,0,5,13,1.0,5,5,13,1.0,0
opt_inline,0x00066000,__dlmopen,0,2,4,1,8,15,0x0046f6c4,__dlmopen,1,2,4,1,9,19,0.5454545454545454,6,11,13,0.7647058823529411,0
opt_inline,0x00066164,__dlopen,0,2,3,1,8,15,0x0046f888,__dlopen,1,3,3,1,7,16,0.6666666666666666,6,9,13,0.8387096774193549,0
opt_inline,0x00066200,__dlsym,0,4,3,1,9,31,0x0046f9ac,__dlsym,0,4,3,1,9,31,0.8,8,10,28,0.9032258064516129,0
opt_inline,0x000662d8,__dlvsym,0,4,4,1,9,35,0x0046fb30,__dlvsym,0,4,4,1,9,35,0.8,8,10,32,0.9142857142857143,0
opt_inline,0x000104bc,__do_global_dtors_aux,1,1,1,1,6,10,0x00400a0c,__do_global_dtors_aux,1,2,0,1,8,11,0.75,6,8,7,0.6666666666666666,0
opt_inline,0x000194dc,__errno_location,5,1,0,0,4,4,0x0040b610,__errno_location,1,0,0,0,4,4,0.6,3,5,3,0.75,0
opt_inline,0x0002454c,__fcntl64_nocancel,3,1,2,4,15,34,0x004190c0,__fcntl64_nocancel,3,1,2,0,2,2,0.13333333333333333,2,15,1,0.05555555555555555,0
opt_inline,0x00024608,__fcntl64_nocancel_adjusted,1,1,3,4,16,36,0x00418ff0,__fcntl64_nocancel_adjusted,2,0,3,4,13,26,0.8125,13,16,15,0.4838709677419355,0
opt_inline,0x00060ca8,__fdopendir,1,4,1,5,14,37,0x00468f10,__fdopendir,1,3,1,5,15,38,0.9333333333333333,14,15,33,0.88,0
opt_inline,0x00058ef4,__fgets_unlocked,1,2,3,5,18,46,0x0045e390,__fgets_unlocked,1,1,3,5,19,44,0.9473684210526315,18,19,36,0.8,0
opt_inline,0x00055a5c,__fopen_internal,1,6,3,5,14,70,0x00459a8c,__fopen_internal,1,6,3,5,14,70,1.0,14,14,66,0.9428571428571428,0
opt_inline,0x000559f4,__fopen_maybe_mmap,0,0,1,3,12,30,0x00459a10,__fopen_maybe_mmap,0,0,1,3,12,29,0.8461538461538461,11,13,25,0.847457627118644,0
opt_inline,0x00038fc0,__fortify_fail,1,1,1,0,3,3,0x004344f0,__fortify_fail,1,1,1,0,3,3,1.0,3,3,3,1.0,0
opt_inline,0x00029dfc,__fprintf,2,1,2,0,6,9,0x004202b0,__fprintf,2,1,2,0,6,8,1.0,6,6,8,0.9411764705882353,0
opt_inline,0x00023f04,__fstat64,0,3,2,2,12,21,0x004186e4,__fstat64,0,2,2,2,13,19,0.9230769230769231,12,13,14,0.7,0
opt_inline,0x00023ec0,__fstat64_time64,12,2,2,1,9,13,0x004186a0,__fstat64_time64,11,1,2,1,10,12,0.7272727272727273,8,11,9,0.72,0
opt_inline,0x000241a0,__fstatat64,0,2,4,1,9,11,0x00418a2c,__fstatat64,0,2,4,1,9,10,1.0,9,9,10,0.9523809523809523,0
opt_inline,0x00023f80,__fstatat64_time64,8,2,4,2,19,131,0x00418790,__fstatat64_time64,8,2,4,3,21,158,0.8181818181818182,18,22,95,0.657439446366782,0
opt_inline,0x00051774,__funlockfile,1,2,1,5,15,45,0x004542d0,__funlockfile,1,1,1,4,12,33,0.6875,11,16,25,0.6410256410256411,0
opt_inline,0x00059024,__futex_abstimed_wait64,3,1,5,8,17,45,0x0045e6e0,__futex_abstimed_wait64,4,1,5,0,2,2,0.11764705882352941,2,17,2,0.0851063829787234,0
opt_inline,0x000590d4,__futex_abstimed_wait_cancelable64,0,3,5,9,20,59,0x0045e724,__futex_abstimed_wait_cancelable64,3,1,5,0,2,2,0.1,2,20,2,0.06557377049180328,0
opt_inline,0x000591f4,__futex_lock_pi64,1,1,4,5,14,29,0x0045e76c,__futex_lock_pi64,2,1,4,6,14,26,0.75,12,16,18,0.6545454545454545,0
opt_inline,0x0006a860,__gcc_personality_v0,0,7,3,8,16,122,0x004793e4,__gcc_personality_v0,0,7,5,12,18,245,0.7894736842105263,15,19,98,0.5340599455040872,0
opt_inline,0x0005c568,__gconv,1,1,6,17,21,140,0x00462ae0,__gconv,1,1,6,17,18,126,0.8571428571428571,18,21,79,0.5939849624060151,0
opt_inline,0x00041b74,__gconv_alias_compare,5,1,2,0,3,4,0x00441770,__gconv_alias_compare,5,1,2,0,3,4,1.0,3,3,4,1.0,0
