Label,Function,SourceFile,ARM_PcodeLines,MIPS_PcodeLines,Match_Ratio,Notes
110,__strtol_internal,Unknown,1,1,100.00,高相似度;
111,__strtol,Unknown,1,1,100.00,高相似度;
112,__isoc23_strtol,Unknown,1,1,100.00,高相似度;
113,____strtol_l_internal,Unknown,1,1,100.00,高相似度;
114,__strtol_l,Unknown,1,1,100.00,高相似度;
115,__isoc23_strtol_l,Unknown,1,1,100.00,高相似度;
116,__correctly_grouped_prefixmb,Unknown,1,1,100.00,高相似度;
117,__libc_message_impl,Unknown,1,1,100.00,高相似度;
118,__libc_fatal,Unknown,1,1,100.00,高相似度;
119,__lll_lock_wait_private,Unknown,1,1,100.00,高相似度;
120,__lll_lock_wait,Unknown,1,1,100.00,高相似度;
121,__lll_lock_wake_private,Unknown,1,1,100.00,高相似度;
122,__lll_lock_wake,Unknown,1,1,100.00,高相似度;
123,__nptl_deallocate_tsd,Unknown,1,1,100.00,高相似度;
124,__pthread_kill_implementation,Unknown,1,1,100.00,高相似度;
125,__pthread_kill_internal,Unknown,1,1,100.00,高相似度;
126,__pthread_kill,Unknown,1,1,100.00,高相似度;
127,__pthread_self,Unknown,1,1,100.00,高相似度;
128,__pthread_sigmask,Unknown,1,1,100.00,高相似度;
129,_dl_tunable_set_mmap_threshold,Unknown,1,1,100.00,高相似度;
130,_dl_tunable_set_mmaps_max,Unknown,1,1,100.00,高相似度;
131,_dl_tunable_set_top_pad,Unknown,1,1,100.00,高相似度;
132,_dl_tunable_set_perturb_byte,Unknown,1,1,100.00,高相似度;
133,_dl_tunable_set_trim_threshold,Unknown,1,1,100.00,高相似度;
134,_dl_tunable_set_arena_max,Unknown,1,1,100.00,高相似度;
135,_dl_tunable_set_arena_test,Unknown,1,1,100.00,高相似度;
136,_dl_tunable_set_tcache_max,Unknown,1,1,100.00,高相似度;
137,_dl_tunable_set_tcache_count,Unknown,1,1,100.00,高相似度;
138,_dl_tunable_set_tcache_unsorted_limit,Unknown,1,1,100.00,高相似度;
139,_dl_tunable_set_mxfast,Unknown,1,1,100.00,高相似度;
140,malloc_printerr,Unknown,1,1,100.00,高相似度;
141,int_mallinfo,Unknown,1,1,100.00,高相似度;
142,alloc_perturb,Unknown,1,1,100.00,高相似度;
143,munmap_chunk,Unknown,1,1,100.00,高相似度;
144,detach_arena,Unknown,1,1,100.00,高相似度;
145,_dl_tunable_set_hugetlb,Unknown,1,1,100.00,高相似度;
146,__malloc_info,Unknown,1,1,100.00,高相似度;
147,unlink_chunk,Unknown,1,1,100.00,高相似度;
148,malloc_consolidate,Unknown,1,1,100.00,高相似度;
149,_int_free_create_chunk,Unknown,1,1,100.00,高相似度;
150,ptmalloc_init,Unknown,1,1,100.00,高相似度;
151,alloc_new_heap,Unknown,1,1,100.00,高相似度;
152,new_heap,Unknown,1,1,100.00,高相似度;
153,arena_get2,Unknown,1,1,100.00,高相似度;
154,arena_get_retry,Unknown,1,1,100.00,高相似度;
155,sysmalloc_mmap_fallback,Unknown,1,1,100.00,高相似度;
156,sysmalloc_mmap,Unknown,1,1,100.00,高相似度;
157,systrim,Unknown,1,1,100.00,高相似度;
158,_int_free_maybe_consolidate,Unknown,1,1,100.00,高相似度;
159,_int_free_merge_chunk,Unknown,1,1,100.00,高相似度;
160,_int_free,Unknown,1,1,100.00,高相似度;
161,sysmalloc,Unknown,1,1,100.00,高相似度;
162,_int_malloc,Unknown,1,1,100.00,高相似度;
163,tcache_init,Unknown,1,1,100.00,高相似度;
164,_int_realloc,Unknown,1,1,100.00,高相似度;
165,_int_memalign,Unknown,1,1,100.00,高相似度;
166,__glibc_morecore,Unknown,1,1,100.00,高相似度;
167,__malloc_fork_lock_parent,Unknown,1,1,100.00,高相似度;
168,__malloc_fork_unlock_parent,Unknown,1,1,100.00,高相似度;
169,__malloc_fork_unlock_child,Unknown,1,1,100.00,高相似度;
170,__libc_malloc,Unknown,1,1,100.00,高相似度;
171,_mid_memalign,Unknown,1,1,100.00,高相似度;
172,__libc_free,Unknown,1,1,100.00,高相似度;
173,__malloc_arena_thread_freeres,Unknown,1,1,100.00,高相似度;
174,__libc_realloc,Unknown,1,1,100.00,高相似度;
175,__libc_memalign,Unknown,1,1,100.00,高相似度;
176,aligned_alloc,Unknown,1,1,100.00,高相似度;
177,__libc_valloc,Unknown,1,1,100.00,高相似度;
178,__libc_pvalloc,Unknown,1,1,100.00,高相似度;
179,__libc_calloc,Unknown,1,1,100.00,高相似度;
180,__malloc_trim,Unknown,1,1,100.00,高相似度;
181,__malloc_usable_size,Unknown,1,1,100.00,高相似度;
182,__libc_mallinfo2,Unknown,1,1,100.00,高相似度;
183,__libc_mallinfo,Unknown,1,1,100.00,高相似度;
184,__malloc_stats,Unknown,1,1,100.00,高相似度;
185,__libc_mallopt,Unknown,1,1,100.00,高相似度;
186,__posix_memalign,Unknown,1,1,100.00,高相似度;
187,memcmp,Unknown,1,1,100.00,高相似度;
188,memcpy,Unknown,1,1,100.00,高相似度;
189,memmove,Unknown,1,1,100.00,高相似度;
190,memset,Unknown,1,1,100.00,高相似度;
191,__strchrnul,Unknown,1,1,100.00,高相似度;
192,strlen,Unknown,1,1,100.00,高相似度;
193,clock,Unknown,1,1,100.00,高相似度;
194,__time64,Unknown,1,1,100.00,高相似度;
195,__time,Unknown,1,1,100.00,高相似度;
196,__clock_gettime64,Unknown,1,1,100.00,高相似度;
197,__clock_gettime,Unknown,1,1,100.00,高相似度;
198,__closedir,Unknown,1,1,100.00,高相似度;
199,opendir_tail,Unknown,1,1,100.00,高相似度;
200,__opendirat,Unknown,1,1,100.00,高相似度;
201,__opendir,Unknown,1,1,100.00,高相似度;
202,__alloc_dir,Unknown,1,1,100.00,高相似度;
203,__readdir_unlocked,Unknown,1,1,100.00,高相似度;
204,__readdir,Unknown,1,1,100.00,高相似度;
205,_exit,Unknown,1,1,100.00,高相似度;
206,__libc_fork,Unknown,1,1,100.00,高相似度;
207,__getpid,Unknown,1,1,100.00,高相似度;
208,__getppid,Unknown,1,1,100.00,高相似度;
209,__register_atfork,Unknown,1,1,100.00,高相似度;
210,__unregister_atfork,Unknown,1,1,100.00,高相似度;
211,__run_prefork_handlers,Unknown,1,1,100.00,高相似度;
212,__run_postfork_handlers,Unknown,1,1,100.00,高相似度;
213,__libc_atfork_freemem,Unknown,1,1,100.00,高相似度;
214,__setsid,Unknown,1,1,100.00,高相似度;
215,__sleep,Unknown,1,1,100.00,高相似度;
216,__chdir,Unknown,1,1,100.00,高相似度;
217,__close,Unknown,1,1,100.00,高相似度;
218,__libc_fcntl,Unknown,1,1,100.00,高相似度;
219,__fstat64_time64,Unknown,1,1,100.00,高相似度;
220,__fstat64,Unknown,1,1,100.00,高相似度;
221,__fstatat64_time64,Unknown,1,1,100.00,高相似度;
222,__fstatat64,Unknown,1,1,100.00,高相似度;
223,__libc_open,Unknown,1,1,100.00,高相似度;
224,__libc_read,Unknown,1,1,100.00,高相似度;
225,__readlink,Unknown,1,1,100.00,高相似度;
226,__unlink,Unknown,1,1,100.00,高相似度;
227,__libc_write,Unknown,1,1,100.00,高相似度;
228,__close_nocancel,Unknown,1,1,100.00,高相似度;
229,__fcntl64_nocancel,Unknown,1,1,100.00,高相似度;
230,__fcntl64_nocancel_adjusted,Unknown,1,1,100.00,高相似度;
231,__open_nocancel,Unknown,1,1,100.00,高相似度;
232,__openat_nocancel,Unknown,1,1,100.00,高相似度;
