ARM Address,ARM Function Name,MIPS Address,MIPS Function Name,Similarity Score,Category
0x0003dd94,_Fork,0x00439bd0,_Fork,0.2666666666666666,Other
0x00039ab0,_IO_iter_file,0x00434410,_IO_iter_file,0.5,IO
0x00039b94,_IO_list_unlock,0x00434504,_IO_list_unlock,0.6428571428571429,IO
0x000354f4,_IO_new_do_write,0x0042eaac,_IO_new_do_write,0.6,IO
0x0003a434,_IO_str_pbackfail,0x00435104,_IO_str_pbackfail,0.5714285714285714,IO
0x000378d4,_IO_un_link,0x004316b8,_IO_un_link,0.4117647058823529,IO
0x0006f278,_Unwind_GetCFA,0x0047c0a4,_Unwind_GetCFA,0.6,Other
0x000103b0,_Unwind_GetDataRelBase,0x0047c1dc,_Unwind_GetDataRelBase,0.2,Other
0x0006f454,_Unwind_GetGR,0x0047afc8,_Unwind_GetGR,0.2142857142857142,Other
0x0007032c,_Unwind_GetLanguageSpecificData,0x0047c180,_Unwind_GetLanguageSpecificData,0.375,Other
0x0007031c,_Unwind_GetRegionStart,0x0047c18c,_Unwind_GetRegionStart,0.6,Other
0x000103b8,_Unwind_GetTextRelBase,0x0047c1e8,_Unwind_GetTextRelBase,0.2,Other
0x0006f4dc,_Unwind_SetGR,0x0047c0b0,_Unwind_SetGR,0.2,Other
0x0006be18,___dlmopen,0x00476548,___dlmopen,0.5454545454545454,Dynamic Linker
0x0006bf78,___dlopen,0x00476700,___dlopen,0.5454545454545454,Dynamic Linker
0x0006c274,__atomic_wide_counter_load_relaxed,0x00476c24,__atomic_wide_counter_load_relaxed,0.5789473684210527,Other
0x0002b680,__bind,0x00421950,__bind,0.4,Networking
0x0002a6d4,__brk,0x004201c0,__brk,0.2727272727272727,Memory
0x00029900,__chdir,0x0041efd0,__chdir,0.4,Other
0x0002ece8,__clearenv,0x00425ee8,__clearenv,0.6470588235294118,Other
0x0006070c,__clock_nanosleep,0x0046744c,__clock_nanosleep,0.5625,Other
0x00060668,__clock_nanosleep_time64,0x00467370,__clock_nanosleep_time64,0.5714285714285714,Other
0x0002a2b8,__close_nocancel,0x0041fd60,__close_nocancel,0.5833333333333334,Other
0x0002e5e8,__ctype_b_loc,0x00425610,__ctype_b_loc,0.6,Other
0x0002e624,__ctype_tolower_loc,0x00425650,__ctype_tolower_loc,0.3333333333333333,Other
0x0002e604,__ctype_toupper_loc,0x00425630,__ctype_toupper_loc,0.3333333333333333,Other
0x00064658,__current_locale_name,0x0046c8a0,__current_locale_name,0.6666666666666666,Other
0x0006b7b0,__dlclose,0x00475cd0,__dlclose,0.6666666666666666,Dynamic Linker
0x0006bdd0,__dlmopen,0x004764d4,__dlmopen,0.5454545454545454,Dynamic Linker
0x0006bf34,__dlopen,0x00476698,__dlopen,0.6666666666666666,Dynamic Linker
0x0001f284,__errno_location,0x004123a0,__errno_location,0.2857142857142857,Other
0x0002a2fc,__fcntl64_nocancel,0x0041fe90,__fcntl64_nocancel,0.1333333333333333,Other
0x00057544,__funlockfile,0x0045b0e0,__funlockfile,0.6875,IO
0x0005edf4,__futex_abstimed_wait64,0x004654f0,__futex_abstimed_wait64,0.1176470588235294,Other
0x0005eea4,__futex_abstimed_wait_cancelable64,0x00465534,__futex_abstimed_wait_cancelable64,0.1,Other
0x00049aa4,__gconv_btwoc_ascii,0x0044b260,__gconv_btwoc_ascii,0.3,Conversion
0x000499c4,__gconv_conf_freemem,0x0044b0e8,__gconv_conf_freemem,0.6666666666666666,Conversion
0x0004b7ac,__gconv_transform_internal_ascii,0x0044d1f0,__gconv_transform_internal_ascii,0.0,Conversion
0x0004e3e8,__gconv_transform_internal_ucs2,0x0044fde0,__gconv_transform_internal_ucs2,0.0,Conversion
0x0004f744,__gconv_transform_internal_ucs2reverse,0x004511b4,__gconv_transform_internal_ucs2reverse,0.0,Conversion
0x0004a080,__gconv_transform_ucs4_internal,0x0044b838,__gconv_transform_ucs4_internal,0.0,Conversion
0x0002aac0,__get_nprocs_sched,0x00420750,__get_nprocs_sched,0.2307692307692307,Other
0x0006719c,__getclktck,0x00470560,__getclktck,0.5,Other
0x0003dd44,__getdents64,0x00439b60,__getdents64,0.3846153846153846,Other
0x00028e80,__getpid,0x0041e240,__getpid,0.6666666666666666,Other
0x00028ea0,__getppid,0x0041e260,__getppid,0.6666666666666666,Other
0x0002b770,__getsockname,0x00421ad0,__getsockname,0.4,Other
0x000575c8,__grouping_iterator_init_none,0x0045b170,__grouping_iterator_init_none,0.5714285714285714,Other
0x000576e0,__grouping_iterator_next,0x0045b308,__grouping_iterator_next,0.631578947368421,Other
0x0001f7cc,__internal_atexit,0x00412a50,__internal_atexit,0.6666666666666666,Other
0x0002ac44,__ioctl,0x00420a80,__ioctl,0.375,System Call
0x0001fe4c,__isoc23_strtol,0x00413088,__isoc23_strtol,0.5555555555555556,Other
0x0002eeb8,__isoc23_strtoul,0x00426128,__isoc23_strtoul,0.5555555555555556,Other
0x0001f590,__kill,0x004127a0,__kill,0.5555555555555556,Other
0x0005ed78,__libc_alloca_cutoff,0x004652a0,__libc_alloca_cutoff,0.5625,Libc
0x0002976c,__libc_atfork_freemem,0x0041ed74,__libc_atfork_freemem,0.6875,Memory
0x00029f88,__libc_open,0x0041f880,__libc_open,0.6842105263157895,Libc
0x0001f400,__libc_sigaction,0x004125c0,__libc_sigaction,0.55,Libc
0x0002698c,__libc_valloc,0x0041af38,__libc_valloc,0.625,Memory
0x0005e884,__libio_codecvt_encoding,0x00464b74,__libio_codecvt_encoding,0.625,IO
