Category,Count,Average Similarity
Attack,20,0.8982234660435923
IO,174,0.8900569063539863
Dynamic Linker,146,0.8513533519130244
Libc,32,0.8506436388849798
Memory,59,0.8338579905961133
Utility,21,0.8225300251853047
Other,384,0.7868512015813296
Conversion,43,0.784923881788166
Threading,27,0.7277600159074261
Networking,9,0.7236111111111111
System Call,4,0.5842672413793103
